task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 362  1468505896.35726905  1468505896.35763097  0.00036192
 363  1468505896.35771394  1468505896.35807610  0.00036216
 364  1468505896.35815811  1468505896.35852003  0.00036192
 365  1468505896.35860300  1468505896.35896397  0.00036097
 366  1468505896.35904694  1468505896.35941100  0.00036407
 367  1468505896.35949492  1468505896.35985589  0.00036097
 368  1468505896.35993791  1468505896.36032200  0.00038409
 369  1468505896.36040592  1468505896.36076903  0.00036311
 370  1468505896.36085296  1468505896.36121392  0.00036097
 371  1468505896.36129689  1468505896.36165905  0.00036216
 372  1468505896.36174202  1468505896.36210489  0.00036287
 373  1468505896.36218810  1468505896.36255002  0.00036192
 374  1468505896.36263299  1468505896.36299396  0.00036097
 375  1468505896.36307812  1468505896.36344004  0.00036192
 376  1468505896.36352205  1468505896.36388397  0.00036192
 377  1468505896.36396694  1468505896.36432791  0.00036097
 378  1468505896.36441112  1468505896.36477208  0.00036097
 379  1468505896.36485505  1468505896.36521792  0.00036287
 380  1468505896.36530089  1468505896.36566591  0.00036502
 381  1468505896.36574793  1468505896.36611199  0.00036407
 382  1468505896.36619496  1468505896.36655593  0.00036097
 383  1468505896.36664009  1468505896.36700106  0.00036097
 384  1468505896.36708403  1468505896.36744499  0.00036097
 385  1468505896.36752796  1468505896.36788893  0.00036097
 386  1468505896.36797094  1468505896.36833310  0.00036216
 387  1468505896.36841512  1468505896.36877894  0.00036383
 388  1468505896.36886001  1468505896.36922193  0.00036192
 389  1468505896.36930490  1468505896.36966610  0.00036120
 390  1468505896.36974907  1468505896.37011003  0.00036097
 391  1468505896.37019396  1468505896.37055898  0.00036502
 392  1468505896.37064195  1468505896.37100601  0.00036407
 393  1468505896.37108994  1468505896.37145400  0.00036407
 394  1468505896.37153602  1468505896.37189794  0.00036192
 395  1468505896.37197995  1468505896.37234306  0.00036311
 396  1468505896.37242603  1468505896.37278795  0.00036192
 397  1468505896.37287092  1468505896.37323308  0.00036216
 398  1468505896.37331605  1468505896.37367797  0.00036192
 399  1468505896.37376189  1468505896.37412405  0.00036216
 400  1468505896.37420702  1468505896.37457108  0.00036407
 401  1468505896.37465405  1468505896.37502003  0.00036597
 402  1468505896.37510204  1468505896.37546396  0.00036192
 403  1468505896.37554693  1468505896.37591410  0.00036716
 404  1468505896.37599707  1468505896.37635899  0.00036192
 405  1468505896.37644291  1468505896.37680507  0.00036216
 406  1468505896.37688804  1468505896.37725210  0.00036407
 407  1468505896.37733507  1468505896.37769699  0.00036192
 408  1468505896.37777996  1468505896.37814212  0.00036216
 409  1468505896.37822604  1468505896.37858701  0.00036097
 410  1468505896.37867093  1468505896.37903404  0.00036311
 411  1468505896.37911606  1468505896.37947798  0.00036192
 412  1468505896.37956095  1468505896.37992311  0.00036216
 413  1468505896.38000607  1468505896.38041711  0.00041103
 414  1468505896.38049889  1468505896.38087010  0.00037122
 415  1468505896.38095498  1468505896.38132095  0.00036597
 416  1468505896.38140392  1468505896.38176489  0.00036097
 417  1468505896.38184905  1468505896.38221192  0.00036287
 418  1468505896.38229489  1468505896.38265896  0.00036407
 419  1468505896.38274193  1468505896.38310409  0.00036216
 420  1468505896.38318801  1468505896.38354993  0.00036192
 421  1468505896.38363194  1468505896.38399410  0.00036216
 422  1468505896.38407612  1468505896.38443708  0.00036097
 423  1468505896.38452101  1468505896.38488293  0.00036192
 424  1468505896.38496590  1468505896.38532901  0.00036311
 425  1468505896.38541198  1468505896.38578296  0.00037098
 426  1468505896.38586497  1468505896.38622999  0.00036502
 427  1468505896.38631296  1468505896.38667488  0.00036192
 428  1468505896.38675594  1468505896.38711810  0.00036216
 429  1468505896.38720012  1468505896.38756204  0.00036192
 430  1468505896.38764405  1468505896.38800597  0.00036192
 431  1468505896.38809109  1468505896.38845396  0.00036287
 432  1468505896.38853788  1468505896.38890004  0.00036216
 433  1468505896.38898206  1468505896.38934302  0.00036097
 434  1468505896.38942599  1468505896.38978910  0.00036311
 435  1468505896.38987088  1468505896.39023304  0.00036216
 436  1468505896.39035392  1468505896.39072204  0.00036812
 437  1468505896.39080811  1468505896.39117193  0.00036383
 438  1468505896.39125490  1468505896.39161706  0.00036216
 439  1468505896.39170098  1468505896.39206290  0.00036192
 440  1468505896.39214611  1468505896.39250803  0.00036192
 441  1468505896.39259195  1468505896.39295411  0.00036216
 442  1468505896.39303589  1468505896.39339995  0.00036407
 443  1468505896.39348292  1468505896.39384699  0.00036407
 444  1468505896.39392996  1468505896.39429307  0.00036311
 445  1468505896.39437604  1468505896.39474010  0.00036407
 446  1468505896.39482307  1468505896.39518499  0.00036192
 447  1468505896.39526796  1468505896.39563704  0.00036907
 448  1468505896.39572001  1468505896.39608598  0.00036597
 449  1468505896.39616895  1468505896.39652991  0.00036097
 450  1468505896.39661288  1468505896.39697695  0.00036407
 451  1468505896.39705992  1468505896.39742208  0.00036216
 452  1468505896.39750504  1468505896.39786601  0.00036097
 453  1468505896.39794898  1468505896.39831090  0.00036192
 454  1468505896.39839292  1468505896.39875388  0.00036097
 455  1468505896.39883709  1468505896.39919806  0.00036097
 456  1468505896.39928007  1468505896.39964104  0.00036097
 457  1468505896.39972401  1468505896.40008593  0.00036192
 458  1468505896.40016890  1468505896.40053296  0.00036407
 459  1468505896.40061593  1468505896.40097809  0.00036216
 460  1468505896.40106106  1468505896.40142608  0.00036502
 461  1468505896.40150809  1468505896.40187001  0.00036192
 462  1468505896.40195298  1468505896.40231609  0.00036311
 463  1468505896.40239906  1468505896.40276003  0.00036097
 464  1468505896.40284300  1468505896.40320492  0.00036192
 465  1468505896.40328789  1468505896.40365291  0.00036502
 466  1468505896.40373707  1468505896.40410304  0.00036597
 467  1468505896.40418601  1468505896.40454888  0.00036287
 468  1468505896.40463090  1468505896.40499401  0.00036311
 469  1468505896.40507603  1468505896.40544105  0.00036502
 470  1468505896.40552402  1468505896.40588999  0.00036597
 471  1468505896.40597510  1468505896.40633988  0.00036478
 472  1468505896.40642190  1468505896.40678310  0.00036120
 473  1468505896.40686607  1468505896.40722895  0.00036287
 474  1468505896.40731096  1468505896.40767407  0.00036311
 475  1468505896.40775490  1468505896.40811610  0.00036120
 476  1468505896.40819812  1468505896.40856004  0.00036192
 477  1468505896.40864301  1468505896.40900707  0.00036407
 478  1468505896.40909004  1468505896.40945411  0.00036407
 479  1468505896.40953803  1468505896.40990090  0.00036287
 480  1468505896.40998292  1468505896.41038895  0.00040603
 481  1468505896.41047597  1468505896.41084290  0.00036693
 482  1468505896.41092610  1468505896.41128898  0.00036287
 483  1468505896.41137099  1468505896.41173291  0.00036192
 484  1468505896.41181588  1468505896.41217899  0.00036311
 485  1468505896.41226196  1468505896.41262507  0.00036311
 486  1468505896.41270709  1468505896.41306901  0.00036192
 487  1468505896.41315293  1468505896.41351390  0.00036097
 488  1468505896.41359711  1468505896.41395903  0.00036192
 489  1468505896.41404009  1468505896.41440201  0.00036192
 490  1468505896.41448498  1468505896.41484690  0.00036192
 491  1468505896.41492891  1468505896.41529107  0.00036216
 492  1468505896.41537309  1468505896.41573906  0.00036597
 493  1468505896.41582108  1468505896.41628909  0.00046802
 494  1468505896.41637301  1468505896.41684008  0.00046706
 495  1468505896.41692305  1468505896.41739106  0.00046802
 496  1468505896.41747403  1468505896.41783810  0.00036407
 497  1468505896.41792011  1468505896.41828394  0.00036383
 498  1468505896.41836691  1468505896.41872811  0.00036120
 499  1468505896.41880989  1468505896.41917205  0.00036216
 500  1468505896.41925502  1468505896.41961694  0.00036192
 501  1468505896.41969991  1468505896.42006397  0.00036407
 502  1468505896.42014694  1468505896.42051291  0.00036597
 503  1468505896.42059588  1468505896.42095804  0.00036216
 504  1468505896.42104101  1468505896.42140388  0.00036287
 505  1468505896.42148495  1468505896.42184711  0.00036216
