task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 421  1468506024.24519801  1468506024.24556398  0.00036597
 422  1468506024.24564600  1468506024.24599791  0.00035191
 423  1468506024.24607897  1468506024.24643111  0.00035214
 424  1468506024.24651194  1468506024.24686289  0.00035095
 425  1468506024.24694395  1468506024.24729705  0.00035310
 426  1468506024.24737692  1468506024.24772906  0.00035214
 427  1468506024.24780989  1468506024.24816489  0.00035501
 428  1468506024.24824595  1468506024.24860001  0.00035405
 429  1468506024.24868107  1468506024.24903393  0.00035286
 430  1468506024.24911404  1468506024.24946690  0.00035286
 431  1468506024.24954700  1468506024.24989891  0.00035191
 432  1468506024.24997902  1468506024.25034690  0.00036788
 433  1468506024.25043011  1468506024.25078392  0.00035381
 434  1468506024.25086498  1468506024.25121808  0.00035310
 435  1468506024.25129890  1468506024.25165105  0.00035214
 436  1468506024.25173211  1468506024.25208402  0.00035191
 437  1468506024.25216389  1468506024.25251603  0.00035214
 438  1468506024.25259590  1468506024.25294805  0.00035214
 439  1468506024.25303006  1468506024.25338197  0.00035191
 440  1468506024.25346208  1468506024.25381589  0.00035381
 441  1468506024.25389791  1468506024.25425100  0.00035310
 442  1468506024.25433111  1468506024.25468302  0.00035191
 443  1468506024.25476289  1468506024.25511503  0.00035214
 444  1468506024.25519609  1468506024.25557208  0.00037599
 445  1468506024.25565290  1468506024.25600791  0.00035501
 446  1468506024.25608897  1468506024.25644207  0.00035310
 447  1468506024.25652289  1468506024.25687504  0.00035214
 448  1468506024.25695491  1468506024.25730991  0.00035501
 449  1468506024.25739098  1468506024.25774288  0.00035191
 450  1468506024.25782299  1468506024.25817490  0.00035191
 451  1468506024.25825596  1468506024.25860810  0.00035214
 452  1468506024.25868893  1468506024.25904202  0.00035310
 453  1468506024.25912309  1468506024.25947404  0.00035095
 454  1468506024.25955391  1468506024.25990701  0.00035310
 455  1468506024.25998712  1468506024.26034808  0.00036097
 456  1468506024.26043010  1468506024.26078391  0.00035381
 457  1468506024.26086497  1468506024.26121712  0.00035214
 458  1468506024.26129794  1468506024.26165009  0.00035214
 459  1468506024.26172996  1468506024.26208401  0.00035405
