task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
task 1 has started...
 385  1468506049.14541292  1468506049.14542294  0.00001001
 386  1468506049.14549088  1468506049.14550090  0.00001001
 387  1468506049.14556909  1468506049.14557910  0.00001001
 388  1468506049.14564610  1468506049.14565706  0.00001097
 389  1468506049.14572310  1468506049.14573312  0.00001001
 390  1468506049.14580011  1468506049.14581108  0.00001097
 391  1468506049.14587808  1468506049.14588809  0.00001001
 392  1468506049.14595604  1468506049.14596701  0.00001097
 393  1468506049.14606309  1468506049.14607310  0.00001001
 394  1468506049.14614105  1468506049.14615202  0.00001097
 395  1468506049.14621902  1468506049.14622903  0.00001001
 396  1468506049.14629602  1468506049.14630699  0.00001097
 397  1468506049.14637399  1468506049.14638495  0.00001097
 398  1468506049.14645195  1468506049.14646196  0.00001001
 399  1468506049.14652991  1468506049.14654112  0.00001121
 400  1468506049.14660811  1468506049.14661789  0.00000978
 401  1468506049.14668489  1468506049.14669490  0.00001001
 402  1468506049.14676309  1468506049.14677310  0.00001001
 403  1468506049.14683890  1468506049.14685011  0.00001121
 404  1468506049.14691710  1468506049.14692712  0.00001001
 405  1468506049.14699411  1468506049.14700508  0.00001097
 406  1468506049.14707208  1468506049.14708209  0.00001001
 407  1468506049.14715004  1468506049.14716101  0.00001097
 408  1468506049.14722800  1468506049.14723802  0.00001001
 409  1468506049.14730597  1468506049.14731598  0.00001001
 410  1468506049.14738297  1468506049.14739394  0.00001097
 411  1468506049.14746189  1468506049.14747190  0.00001001
 412  1468506049.14753890  1468506049.14754891  0.00001001
 413  1468506049.14761710  1468506049.14762712  0.00001001
 414  1468506049.14769506  1468506049.14770508  0.00001001
 415  1468506049.14777303  1468506049.14778304  0.00001001
 416  1468506049.14785004  1468506049.14786005  0.00001001
 417  1468506049.14792895  1468506049.14793897  0.00001001
 418  1468506049.14800596  1468506049.14801693  0.00001097
 419  1468506049.14808393  1468506049.14809704  0.00001311
 420  1468506049.14816499  1468506049.14817500  0.00001001
 421  1468506049.14824200  1468506049.14825201  0.00001001
 422  1468506049.14831901  1468506049.14832997  0.00001097
 423  1468506049.14839697  1468506049.14840794  0.00001097
 424  1468506049.14847493  1468506049.14848495  0.00001001
 425  1468506049.14855289  1468506049.14856291  0.00001001
 426  1468506049.14863110  1468506049.14864111  0.00001001
 427  1468506049.14870811  1468506049.14871907  0.00001097
 428  1468506049.14878607  1468506049.14879704  0.00001097
 429  1468506049.14887595  1468506049.14888692  0.00001097
 430  1468506049.14895296  1468506049.14896393  0.00001097
 431  1468506049.14903212  1468506049.14904308  0.00001097
 432  1468506049.14911008  1468506049.14912009  0.00001001
 433  1468506049.14918804  1468506049.14919806  0.00001001
 434  1468506049.14926505  1468506049.14927506  0.00001001
 435  1468506049.14934301  1468506049.14935303  0.00001001
 436  1468506049.14942002  1468506049.14943099  0.00001097
 437  1468506049.14949799  1468506049.14950895  0.00001097
 438  1468506049.14957690  1468506049.14958811  0.00001121
 439  1468506049.14965606  1468506049.14966607  0.00001001
 440  1468506049.14973402  1468506049.14974403  0.00001001
 441  1468506049.14981103  1468506049.14982200  0.00001097
 442  1468506049.14988899  1468506049.14989901  0.00001001
 443  1468506049.14996600  1468506049.14997602  0.00001001
 444  1468506049.15004301  1468506049.15005398  0.00001097
 445  1468506049.15012002  1468506049.15013099  0.00001097
 446  1468506049.15019894  1468506049.15020895  0.00001001
 447  1468506049.15027595  1468506049.15028691  0.00001097
 448  1468506049.15038204  1468506049.15040588  0.00002384
 449  1468506049.15048003  1468506049.15049291  0.00001287
 450  1468506049.15056109  1468506049.15057206  0.00001097
 451  1468506049.15063906  1468506049.15065002  0.00001097
 452  1468506049.15071607  1468506049.15072703  0.00001097
 453  1468506049.15079498  1468506049.15080500  0.00001001
 454  1468506049.15087295  1468506049.15088296  0.00001001
 455  1468506049.15095091  1468506049.15096211  0.00001121
 456  1468506049.15102911  1468506049.15103889  0.00000978
 457  1468506049.15110493  1468506049.15111589  0.00001097
 458  1468506049.15118289  1468506049.15119410  0.00001121
 459  1468506049.15126109  1468506049.15127110  0.00001001
 460  1468506049.15133810  1468506049.15134907  0.00001097
 461  1468506049.15141606  1468506049.15142608  0.00001001
 462  1468506049.15149212  1468506049.15150309  0.00001097
 463  1468506049.15157008  1468506049.15158010  0.00001001
 464  1468506049.15164804  1468506049.15165806  0.00001001
 465  1468506049.15172505  1468506049.15173602  0.00001097
 466  1468506049.15180302  1468506049.15181303  0.00001001
 467  1468506049.15188098  1468506049.15189195  0.00001097
 468  1468506049.15196109  1468506049.15197206  0.00001097
 469  1468506049.15203905  1468506049.15205002  0.00001097
 470  1468506049.15211606  1468506049.15212703  0.00001097
 471  1468506049.15219402  1468506049.15220499  0.00001097
 472  1468506049.15227103  1468506049.15228200  0.00001097
 473  1468506049.15234900  1468506049.15235996  0.00001097
 474  1468506049.15242696  1468506049.15243793  0.00001097
 475  1468506049.15250492  1468506049.15251589  0.00001097
 476  1468506049.15258288  1468506049.15259290  0.00001001
 477  1468506049.15265989  1468506049.15266991  0.00001001
 478  1468506049.15273690  1468506049.15274811  0.00001121
 479  1468506049.15281606  1468506049.15282893  0.00001287
 480  1468506049.15289688  1468506049.15290689  0.00001001
 481  1468506049.15297389  1468506049.15298510  0.00001121
 482  1468506049.15305209  1468506049.15306211  0.00001001
 483  1468506049.15312910  1468506049.15314007  0.00001097
 484  1468506049.15320706  1468506049.15321708  0.00001001
 485  1468506049.15328407  1468506049.15329504  0.00001097
 486  1468506049.15336204  1468506049.15337300  0.00001097
 487  1468506049.15344095  1468506049.15345097  0.00001001
 488  1468506049.15351796  1468506049.15352798  0.00001001
 489  1468506049.15359497  1468506049.15360594  0.00001097
 490  1468506049.15367293  1468506049.15368295  0.00001001
 491  1468506049.15374994  1468506049.15375996  0.00001001
